predictors_amp_n_ 1,predictors_amp_n_ 2,predictors_amp_n_ 3,predictors_amp_n_ 4,predictors_amp_n_ 5,predictors_amp_n_ 6,predictors_amp_n_ 7,predictors_amp_n_ 8,predictors_amp_n_ 9,predictors_amp_n_10,predictors_amp_n_11,predictors_amp_n_12,predictors_amp_n_13,predictors_amp_n_14,predictors_amp_n_15,predictors_amp_n_16,predictors_amp_n_17,predictors_amp_n_18,predictors_amp_n_19,predictors_amp_n_20,Var2
46,0,80.254,97.892,0.21242,52.5,64.138,55.274,93.69,0.17357,13.476,75.368,97.223,34.913,92.457,0.99804,0,0,2.1117,1,126.76
47,0,0.024409,72.682,0.078182,0.001024,83.102,82.902,7.9857,0.24978,0.1107,0.0073069,0.035353,0.062492,0.027478,0.20664,0,0,0.23399,1,117.46
48,0,0.059575,72.857,0.02639,0.0011591,81.638,81.576,4.2171,1.2866,0.12004,0.054741,0.064558,0.038474,0.01321,0.36968,0,0,0.13163,1,78.063
49,0,0.33053,76.742,0.15533,0.010445,55.834,61.011,6.4859,0.35034,0.44578,0.013402,0.071891,0.11159,0.027792,0.5551,0,0,0.21234,1,104.44
50,0,0.084402,59.542,0.0068576,0.0010614,26.636,57.194,5.726,0.18592,0.6349,0.0068484,0.0079045,0.34865,0.0023614,0.036045,0,0,0.16202,1,119.01
51,0,1.1416,32.798,1.101,0.00066629,42.945,85.107,1.9633,0.092856,1.5585,0.00015733,0.0053266,0.011822,0.00073625,0.016014,0,0,0.14954,1,28.673
52,0,0.22346,25.42,0.085341,0.00049034,12.331,6.6659,1.4742,0.16224,2.0816,0.001523,0.0083371,0.02174,0.00053609,0.011207,0,0,0.25498,1,0.96615
53,0,0.57645,86.757,4.344,0.00056249,6.9959,70.508,36.894,0.12182,5.6688,0.0023972,0.020024,0.010294,0.0020212,0.0092402,0,0,0.50779,1,0
54,0,0.064476,1.3542,0.096276,0.0016025,98.419,0.033147,4.3438,0.1435,0.27895,0.086893,0.012717,0.029157,0.0012953,0.41435,0,0,0.16949,1,67.468
55,0,1.3723,94.939,58.725,0.0060178,23.942,97.225,3.785,2.5867,0.45348,0.0058584,0.85426,0.64858,14.373,0.34067,0,0,0.36439,1,123.3
56,0,0.075995,66.886,0.27167,0.0012373,37.488,35.246,3.1664,0.059973,0.54621,0.015947,0.013488,0.014891,0.0028118,0.022541,0,0,0.25973,1,118.69
57,0,0.1906,97.938,0.9546,0.00085211,5.977,80.017,11.607,0.078538,1.2693,0.0047806,0.0043335,0.023896,0.0011474,0.017406,0,0,0.47784,1,0
58,0,5.2319,16.067,0.040139,0.0014286,81.414,1.8468,91.503,0.39514,1.2027,0.00042839,0.085019,0.012632,0.066058,0.025404,0,0,0.19616,1,132.25
59,0,0.10106,11.324,0.075189,0.0022573,99.044,1.9327,35.049,0.12367,0.17573,0.019751,0.10491,0.094727,0.0087459,0.084986,0,0,0.035038,1,0
60,0,3.6643,53.905,0.010175,0.00091549,75.384,7.2815,0.98475,0.12856,1.4519,0.0003487,0.0053653,0.036026,0.0016232,0.016323,0,0,0.075494,1,15.057
61,0,2.2213,95.839,0.18355,0.00065226,14.735,17.232,13.498,0.14187,5.396,0.00069985,0.027974,0.010556,0.0027227,0.0094174,0,0,0.20986,1,110.61
62,0,0.61758,48.996,0.098143,0.0007801,4.0847,3.7073,11.591,0.10162,1.7321,0.0010821,0.0044279,0.013297,0.00083979,0.0065039,0,0,0.31288,1,62.675
63,0,0.46605,97.735,1.1771,0.65581,55.015,60.622,5.9308,0.55467,2.4195,0.16766,84.217,0.73705,13.099,0.22433,0,0,0.44564,1,11.353
64,0,14.37,99.897,0.49299,0.022341,98.025,84.433,72.269,4.6759,9.5382,0.017505,41.871,14.916,10.896,1.2127,0,0,0.34824,1,0
1,0,1.50E-05,5.1836,2.8848,0.54198,0.038718,0.29766,3.5655,1.988,0.259,0.00061263,0.24657,0.094637,0.0049481,7.8448,0,0,24.525,2,0
2,0,0.00017563,6.7001,28.431,0.25295,98.364,0.33239,24.529,1.3816,0.25661,0.0010135,0.32973,0.39662,0.043476,1.3283,0,0,16.638,2,172.26
3,0,1.59E-05,9.1988,3.6627,0.0015788,0.013389,0.69984,17.957,0.66255,0.042892,0.00077286,2.3722,0.24049,0.0043125,2.0607,0,0,9.0069,2,50.003
4,0,0.0057198,7.65,2.2036,0.67685,54.687,0.16741,29.951,0.87579,0.34075,0.0010574,0.44787,0.29632,0.0044065,1.0368,0,0,22.546,2,151.66
5,0,8.27E-06,3.3934,0.12699,0.07979,0.088314,0.92425,0.17527,1.9964,0.09988,0.0011967,0.63476,0.1059,0.0037032,12.761,0,0,14.838,2,187.99
6,0,4.26E-06,4.9728,1.0514,0.011647,0.057296,0.1146,0.94119,1.9556,0.047897,0.00018638,0.094413,0.067031,0.0039745,5.6978,0,0,9.0128,2,26.8
7,0,0.0013021,5.5689,0.5566,0.015282,0.0056707,1.4086,1.1687,3.4637,0.035627,0.0012633,0.2274,0.17888,0.050428,6.9067,0,0,12.391,2,159.15
8,0,7.22E-06,9.3673,3.0598,0.0053619,0.00083237,2.0505,1.1596,1.8002,0.054216,0.001019,0.54253,0.087209,0.0037357,1.9451,0,0,7.5478,2,81.713
9,0,9.52E-05,9.8637,0.58465,2.8791,2.326,0.43756,15.262,2.9471,0.072226,0.0026013,0.27233,0.46068,0.0073521,7.9442,0,0,8.0495,2,5.3102
10,0,0.00034357,8.2007,5.0158,0.13903,92.29,1.5329,19.603,0.78299,0.0505,0.00084132,0.16218,0.041705,0.0022012,0.7304,0,0,9.4529,2,180.8
11,0,0.00015564,6.4704,25.479,0.0054291,0.00072082,1.9203,2.3856,0.94363,0.07588,0.00085581,0.35473,0.084965,0.0026233,0.37965,0,0,5.6627,2,12.597
12,0,9.21E-05,12.833,20.066,0.037846,97.753,3.3729,30.459,1.8587,0.062589,0.00065179,1.4383,0.10099,0.0038463,0.41221,0,0,5.914,2,31.867
13,0,3.24E-05,50.329,5.751,0.058472,62.842,0.33905,21.764,8.2676,0.050315,0.0023456,0.46457,0.12478,1.8253,57.19,0,0,10.051,2,8.2328
14,0,8.70E-05,21.243,3.264,1.3659,9.59,7.3152,68.812,3.5808,0.2863,0.0013054,0.25921,4.4114,0.006553,31.559,0,0,20.454,2,192.5
15,0,8.77E-06,18.505,1.0401,0.0022424,0.0015298,8.2753,0.09677,0.60387,0.034407,0.0032371,0.55356,1.5696,0.018455,3.5059,0,0,5.6237,2,176.46
16,0,2.82E-06,8.1038,0.47696,0.0017527,0.0036428,1.2316,0.015655,1.0621,0.037359,0.0036972,0.23643,1.6736,0.004699,1.1766,0,0,5.0823,2,34.379
17,0,2.82E-05,24.639,0.16151,0.0128,11.733,0.45201,23.289,6.7683,0.062056,0.0011769,0.67099,0.064541,1.7451,12.521,0,0,16.282,2,180.66
18,0,1.11E-05,3.5111,0.10399,0.0013738,0.0068739,2.9363,0.0086332,1.8861,0.062368,0.029053,0.20984,0.21828,0.0029891,2.9426,0,0,10.505,2,192.34
19,0,1.92E-05,3.7506,0.45138,0.00076985,0.00244,1.4555,0.021485,2.0697,0.043892,0.014077,0.14787,0.068408,0.0026936,4.1946,0,0,7.9119,2,24.699
20,0,1.24E-05,4.2751,0.18097,0.0015641,0.0014579,0.47425,0.098274,5.5333,0.037106,0.0039138,0.12293,0.058131,0.0072029,4.5098,0,0,7.677,2,1.7937
21,0,9.49E-05,44.102,0.44286,0.23575,0.0027523,4.979,4.752,18.762,0.044208,0.0020568,1.3213,0.1837,0.36499,31.807,0,0,7.4349,2,51.348
22,0,3.33E-05,4.7743,2.1236,0.077876,1.1275,2.4807,8.0401,1.6803,0.063561,0.031148,0.91811,0.4321,0.0054816,2.0174,0,0,7.4818,2,58.7
23,0,5.42E-05,17.042,7.2109,0.033127,0.0060995,10.954,0.27243,4.1404,0.24736,0.0035746,1.0307,2.2268,0.0094204,7.1868,0,0,39.472,2,192.65
24,0,1.43E-05,5.5782,1.7998,0.00055304,0.0017976,0.89033,0.07596,3.2596,0.041074,0.017641,0.13244,0.11048,0.0070383,2.8211,0,0,6.7823,2,173.89
25,0,5.08E-06,16.264,0.094607,0.0018002,0.0087785,0.15499,6.4447,4.3287,0.066294,0.00085767,0.26817,0.0656,0.0038884,8.6138,0,0,8.3388,2,21.302
26,0,0.0021365,10.875,6.8146,0.45255,0.010194,39.522,0.17665,2.0782,0.64454,0.01383,0.60031,2.2538,0.72974,1.9475,0,0,7.4222,2,192.05
27,0,1.67E-05,3.6259,1.0725,0.0028,0.0086381,0.38729,0.1788,3.2712,0.066214,0.0018743,0.26447,0.073252,0.0018817,1.7716,0,0,6.2943,2,20.569
28,0,0.00010196,8.6793,0.23648,0.002664,0.0036625,0.38586,2.3002,2.1113,0.079347,0.00039892,0.60192,0.035478,0.0019814,2.6876,0,0,8.285,2,65.597
29,0,0.00030179,31.821,2.0512,0.088683,70.106,0.95714,5.9249,5.8171,0.15565,0.063367,1.8209,3.2291,0.018323,11.185,0,0,42.209,2,191.81
30,0,5.11E-05,2.729,0.13235,0.00080018,0.001429,0.20333,0.23378,2.5486,0.045408,0.0015805,0.67857,0.049494,0.0050072,2.6367,0,0,10.58,2,23.611
31,0,0.00010748,3.9121,0.35169,0.0019499,0.00090592,0.42928,1.2963,3.5617,0.067899,0.006241,0.21651,0.62625,0.0038804,3.0445,0,0,11.936,2,13.404
32,0,9.38E-06,6.7169,0.45108,0.00089728,0.0034589,0.42982,5.841,3.1866,0.03672,0.001593,0.39737,0.071824,0.0051387,1.7737,0,0,6.1323,2,34.839
33,0,1.49E-05,7.4732,2.885,0.54198,0.050547,0.29769,3.5625,2.0107,0.25677,0.00071457,0.24657,0.41991,0.0053649,14.572,0,0,24.525,2,1.7107
34,0,0.00017563,6.7001,28.924,2.0425,98.364,0.33295,32.739,1.3816,0.2604,0.0010138,0.32973,0.54299,0.39553,2.3043,0,0,25.064,2,186.67
35,0,1.59E-05,9.1988,3.6627,0.0015654,0.013389,0.31608,17.957,0.66255,0.042892,0.00077286,2.3722,0.24049,0.0043125,2.0607,0,0,9.0069,2,36.014
36,0,0.00012955,5.026,42.242,0.0012817,16.11,1.9717,29.958,0.69481,0.13994,0.00087249,0.43751,0.30263,0.068763,0.93759,0,0,5.038,2,170.83
37,0,8.15E-05,6.4,1.164,0.002839,3.6375,3.9855,0.20185,1.6528,0.19579,0.0029903,0.12472,0.70419,0.014649,12.624,0,0,35.128,2,191.99
38,0,6.79E-06,6.3656,6.7845,0.0072103,0.03639,0.73536,0.857,2.0375,0.033601,0.00022448,0.059265,0.18191,0.0030057,8.6239,0,0,8.6312,2,21.899
